Java HotSpot(TM) 64-Bit Server VM (25.191-b12) for windows-amd64 JRE (1.8.0_191-b12), built on Oct  6 2018 09:29:03 by "java_re" with MS VC++ 10.0 (VS2010)
271.535: [GC (Allocation Failure) [PSYoungGen: 21568K->10784K(159744K)] 501401K->501409K(807936K), 0.0658557 secs] [Times: user=0.25 sys=0.00, real=0.07 secs] 
277.613: [GC (Allocation Failure) [PSYoungGen: 23584K->23584K(36864K)] 514209K->514217K(685056K), 0.0727182 secs] [Times: user=0.23 sys=0.00, real=0.07 secs] 
284.696: [GC (Allocation Failure) [PSYoungGen: 36384K->36448K(142848K)] 527017K->527089K(791040K), 0.1147852 secs] [Times: user=0.34 sys=0.00, real=0.12 secs] 
291.826: [GC (Allocation Failure) [PSYoungGen: 51296K->51232K(66560K)] 541937K->541881K(714752K), 0.1515644 secs] [Times: user=0.47 sys=0.00, real=0.15 secs] 
299.992: [GC (Allocation Failure) [PSYoungGen: 66080K->66112K(148480K)] 556729K->556761K(796672K), 0.2126534 secs] [Times: user=0.83 sys=0.00, real=0.21 secs] 
307.216: [GC (Allocation Failure) [PSYoungGen: 80448K->80192K(151040K)] 571097K->570841K(799232K), 0.2533602 secs] [Times: user=0.98 sys=0.00, real=0.25 secs] 
315.482: [GC (Allocation Failure) [PSYoungGen: 94528K->94464K(150016K)] 585177K->585113K(798208K), 0.2832340 secs] [Times: user=1.03 sys=0.00, real=0.28 secs] 
318.772: [GC (Allocation Failure) [PSYoungGen: 101120K->101088K(159744K)] 591769K->591737K(807936K), 0.3049055 secs] [Times: user=1.13 sys=0.00, real=0.30 secs] 
322.084: [GC (Allocation Failure) [PSYoungGen: 107744K->84192K(170496K)] 598393K->598473K(818688K), 0.3232316 secs] [Times: user=1.19 sys=0.00, real=0.32 secs] 
326.413: [GC (Allocation Failure) [PSYoungGen: 91360K->63712K(71168K)] 605641K->605729K(719360K), 0.2713710 secs] [Times: user=0.88 sys=0.05, real=0.27 secs] 
330.689: [GC (Allocation Failure) [PSYoungGen: 70880K->41920K(150016K)] 612897K->612977K(798208K), 0.2086680 secs] [Times: user=0.80 sys=0.06, real=0.21 secs] 
334.905: [GC (Allocation Failure) [PSYoungGen: 50624K->29728K(38912K)] 621681K->621745K(687104K), 0.1426011 secs] [Times: user=0.45 sys=0.00, real=0.14 secs] 
340.058: [GC (Allocation Failure) [PSYoungGen: 38432K->24608K(143872K)] 630449K->630489K(792064K), 0.1137183 secs] [Times: user=0.44 sys=0.00, real=0.11 secs] 
340.172: [Full GC (Ergonomics) [PSYoungGen: 24608K->0K(143872K)] [ParOldGen: 605881K->629321K(931328K)] 630489K->629321K(1075200K), [Metaspace: 30262K->30262K(1077248K)], 6.9568818 secs] [Times: user=25.50 sys=0.13, real=6.96 secs] 
352.138: [GC (Allocation Failure) [PSYoungGen: 10240K->10272K(20992K)] 639561K->639593K(952320K), 0.0313128 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
357.177: [GC (Allocation Failure) [PSYoungGen: 20512K->20544K(138752K)] 649833K->649865K(1070080K), 0.0617896 secs] [Times: user=0.25 sys=0.00, real=0.06 secs] 
363.252: [GC (Allocation Failure) [PSYoungGen: 32320K->32288K(44544K)] 661641K->661609K(975872K), 0.0963044 secs] [Times: user=0.38 sys=0.00, real=0.10 secs] 
369.359: [GC (Allocation Failure) [PSYoungGen: 44064K->44096K(122368K)] 673385K->673417K(1053696K), 0.1321373 secs] [Times: user=0.56 sys=0.00, real=0.13 secs] 
376.503: [GC (Allocation Failure) [PSYoungGen: 57408K->57376K(130048K)] 686729K->686697K(1061376K), 0.1684075 secs] [Times: user=0.63 sys=0.00, real=0.17 secs] 
383.684: [GC (Allocation Failure) [PSYoungGen: 70688K->70688K(126976K)] 700009K->700009K(1058304K), 0.2089378 secs] [Times: user=0.83 sys=0.00, real=0.21 secs] 
389.903: [GC (Allocation Failure) [PSYoungGen: 82464K->82528K(130048K)] 711785K->711849K(1061376K), 0.2371692 secs] [Times: user=0.89 sys=0.00, real=0.24 secs] 
396.151: [GC (Allocation Failure) [PSYoungGen: 94304K->94240K(128512K)] 723625K->723561K(1059840K), 0.2761642 secs] [Times: user=1.13 sys=0.00, real=0.28 secs] 
398.431: [GC (Allocation Failure) [PSYoungGen: 98336K->98336K(137728K)] 727657K->727657K(1069056K), 0.2886850 secs] [Times: user=1.13 sys=0.00, real=0.29 secs] 
400.722: [GC (Allocation Failure) [PSYoungGen: 102432K->92192K(142336K)] 731753K->731793K(1073664K), 0.3009304 secs] [Times: user=1.14 sys=0.01, real=0.30 secs] 
401.024: [GC (Allocation Failure) [PSYoungGen: 92704K->70656K(71168K)] 732305K->732345K(1002496K), 0.2932784 secs] [Times: user=1.13 sys=0.02, real=0.29 secs] 
402.318: [GC (Allocation Failure) [PSYoungGen: 71168K->46144K(132608K)] 732857K->733009K(1063936K), 0.2066429 secs] [Times: user=0.81 sys=0.00, real=0.21 secs] 
402.525: [GC (Allocation Failure) [PSYoungGen: 47168K->22048K(23552K)] 734033K->734089K(954880K), 0.1432756 secs] [Times: user=0.55 sys=0.00, real=0.14 secs] 
403.670: [GC (Allocation Failure) [PSYoungGen: 23072K->7232K(135680K)] 735113K->735193K(1067008K), 0.0685119 secs] [Times: user=0.31 sys=0.00, real=0.07 secs] 
403.738: [GC (Allocation Failure) [PSYoungGen: 7744K->3104K(136704K)] 735705K->735697K(1068032K), 0.0240049 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
403.763: [GC (Allocation Failure) [PSYoungGen: 3616K->2112K(134144K)] 736209K->736241K(1065472K), 0.0119437 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
404.776: [GC (Allocation Failure) [PSYoungGen: 3136K->1568K(3072K)] 737265K->737233K(934400K), 0.0107943 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
404.787: [GC (Allocation Failure) [PSYoungGen: 2592K->1088K(128000K)] 738257K->738297K(1059328K), 0.0092151 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
405.799: [GC (Allocation Failure) [PSYoungGen: 2624K->1600K(3584K)] 739833K->739849K(934912K), 0.0092006 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
406.810: [GC (Allocation Failure) [PSYoungGen: 3136K->1568K(118784K)] 741385K->741377K(1050112K), 0.0108594 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
407.823: [GC (Allocation Failure) [PSYoungGen: 3616K->2112K(4608K)] 743425K->743465K(935936K), 0.0125373 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
408.837: [GC (Allocation Failure) [PSYoungGen: 4160K->2080K(109056K)] 745513K->745497K(1040384K), 0.0143280 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
